user,text,date
pjaramirez16,"I restarted my mom's laptop.. it's going crazier, crazier... ",Fri May 22 05:00:45 PDT 2009
pjaramirez16,The Mist is Gross but So COOL! Lol ,Fri May 29 08:46:27 PDT 2009
pjaramirez16,@officialnjonas Black Keys and Much Better ,Fri May 29 08:50:34 PDT 2009
pjaramirez16,@hellodemi Hey! How Are You? ,Fri May 29 09:06:28 PDT 2009
pjaramirez16,http://twitpic.com/68ppj - So Cool! And So Hot! Cody Linley! hehe ,Fri May 29 23:16:22 PDT 2009
pjaramirez16,@laurasap Still Learning... But Always Want To Rock! Whoot! hehe  LOL,Sat May 30 06:39:02 PDT 2009
pjaramirez16,"@laurasap i want to feel what you're feeling  i'm Patrice,13,Philippines ",Sat May 30 06:44:59 PDT 2009
pjaramirez16,Juat watched White Horse by @taylorswift13 and Wizards of Waverly Place ,Sat May 30 08:59:31 PDT 2009
pjaramirez16,"Gonna Go Now!It's3:15am here.WOW!I Miss Being Up 'til 4am  Love You Guyz! Follow ME, I'll Follow YOU back Later.  Love You! Bye! -Peace-",Sat May 30 12:00:44 PDT 2009
pjaramirez16,Cooking... May take a while... ,Sun May 31 02:29:43 PDT 2009
pjaramirez16,@pixypage well... I Live at the Philippines...it's almost 6 pm here.. ,Sun May 31 02:44:29 PDT 2009
pjaramirez16,"i have to unfollow some of you... but if you Follow @royalmixup, i'll follow you there... that's also me... i just can't keep up here.. ",Sun May 31 03:04:16 PDT 2009
pjaramirez16,"i have to unfollow some of you... but if you Follow @brainsareall, i'll follow you there... that's also me... i just can't keep up here.. ",Sun May 31 03:04:54 PDT 2009
pjaramirez16,tweet tweet... playing disney games ,Sun May 31 04:00:13 PDT 2009
pjaramirez16,@din65 http://twitpic.com/6bvrr - Who are they? SO CUTE.. ,Sun May 31 06:09:35 PDT 2009
pjaramirez16,Just watched Charlie's Angels 2.... Watching Wizards of Waverly Place.. ,Sun May 31 08:39:10 PDT 2009
pjaramirez16,"Guyz! Follow @patriceramirez8, Please?! tnx ",Mon Jun 01 03:56:55 PDT 2009
pjaramirez16,"Guyz, Follow @patriceramirez Please?! Tnx ",Tue Jun 02 01:53:04 PDT 2009
pjaramirez16,"@mileycyrus http://twitpic.com/6fvzh - Miley, Love Your Blue Nail Polish..  You Two Look So Cute ",Tue Jun 02 02:51:02 PDT 2009
pjaramirez16,http://twitpic.com/6ggh2 - Who Knows This Pop Star? ,Tue Jun 02 03:07:29 PDT 2009
pjaramirez16,"I'm Using @patriceramirez... But Keep Following Me... Follow @patriceramirez, too... Please?! Thanks ",Wed Jun 03 00:01:56 PDT 2009
Toffeegirluk,Has a bit of a scratchy throat  I hope it goes away before thursday and my weekend of fun!,Tue Apr 07 01:16:25 PDT 2009
Toffeegirluk,"Back to the 9-5  Nevermind, looking forward to havin weds off...yippeeee! ",Mon Jun 15 00:47:50 PDT 2009
Toffeegirluk,Sat in boiling hot hospital waiting room! ,Tue Jun 16 08:11:45 PDT 2009
Toffeegirluk,"Back from hospital, BP not great. Had to have blood tests  On brighter side, off to Thorpe Park tomorrow ",Tue Jun 16 09:53:25 PDT 2009
Toffeegirluk,What an odd show Oklahoma is! Think I need to see the film cos the stage show didn't fill me with glee! ,Sat Jun 20 01:00:40 PDT 2009
Toffeegirluk,"OUCH!! Burnt my knuckle on the frikkin oven!! Boo hoo, sob sob ",Tue Jun 23 11:48:38 PDT 2009
Toffeegirluk,@dawnrigby Oh you poor thing! I couldn't think of much worse  Do u still have lessons outside now-a-days or is it not PC anymore?! ;-),Thu Jun 25 05:48:43 PDT 2009
Toffeegirluk,Glad jimjams is back in the office! ,Mon Jun 15 02:47:22 PDT 2009
Toffeegirluk,"Has anyone seen the new Christian Slater prog on Sci-fi channel? Is it any good, as I'm goin 2 watch it later! ",Mon Jun 15 07:11:37 PDT 2009
alexwestfallhey,umm yeah. homework. ,Tue Apr 07 01:18:09 PDT 2009
NGowers,@Ali1702 OMG- did daughter not come home last night?? What a huge worry. I would have been out of my mind. Poor you! ,Tue Apr 07 01:25:06 PDT 2009
NGowers,@RedMummy oh no! How embarassing in. ,Sat Apr 18 09:16:02 PDT 2009
NGowers,@RedMummy oh no! How embarassing . ,Sat Apr 18 09:16:25 PDT 2009
NGowers,"@piginthepoke oh, that doesn't sound good. ",Sun Apr 19 00:47:57 PDT 2009
NGowers,@manxmidge barely been used. ,Sun Apr 19 01:42:02 PDT 2009
NGowers,@justinewalshe not meaning to sound boring but just life hard at the moment. ,Sun Apr 19 03:10:36 PDT 2009
NGowers,"@LouiseBrig sorry, just life.  shouldn't publicise my feelings but sometimes can't help it.",Sun Apr 19 03:13:20 PDT 2009
NGowers,@mrsmop ooh. Thinking if you tomorrow. It's pure torture isn't it. ,Sun Apr 19 12:31:23 PDT 2009
NGowers,@random_bloke definately a shock for me- dreading it. Back to early nights. ,Mon Apr 20 01:50:18 PDT 2009
NGowers,Today is the start of the health kick! So reduced amounts of everything &amp; increased amounts of fruit veg &amp; exercise. ,Mon Apr 20 01:57:27 PDT 2009
NGowers,@random_bloke some chance!  ,Mon Apr 20 02:22:09 PDT 2009
NGowers,@AndyTallGuy doesn't sound good. ,Mon Apr 20 03:13:33 PDT 2009
NGowers,@MeticulousBob hard work by the sounds of it. ,Sat May 02 05:11:36 PDT 2009
NGowers,"@benz87 tell me about it, nearly crashed on way here. Too much to think about. I can't cope!! ",Sat May 02 07:42:51 PDT 2009
NGowers,"@richardepryor You'll have to show pictures. Sounds like my ideal garden. Have a worm,slug,snail phobia so can't do gardening . ",Mon May 04 00:57:48 PDT 2009
NGowers,@richardepryor doesn't sound good. Going through a bad time? ,Mon May 04 01:21:16 PDT 2009
NGowers,"Good Morning, it's beautiful here today. Shame I'm going to spend most of the day being an unpaid taxi driver. ",Fri May 29 00:29:30 PDT 2009
NGowers,Please don't vote for her out of sympathy!  #BGT,Fri May 29 13:02:09 PDT 2009
NGowers,I feel slightly sick now  #BGT,Fri May 29 13:26:05 PDT 2009
NGowers,@fraserke why?why?why? ,Sat May 30 08:15:57 PDT 2009
NGowers,@Denpasar mine used to love sleeping in the tent. We would have it set up all summer. Unfortunately I'm not THAT good &amp; kind a mummy. ,Sat May 30 08:32:56 PDT 2009
NGowers,@richardepryor you're not a chelsea fan are you? ,Sat May 30 09:56:56 PDT 2009
NGowers,@Taddy69 nooo- not big brother? I really can't stand it. ,Sat May 30 14:06:44 PDT 2009
NGowers,"@Taddy69 haha, I didn't. Someone tweeted we are being invaded by giant caterpillers that cause a rash &amp; more. ",Sat May 30 14:23:16 PDT 2009
NGowers,"I'm sooo hot- hard work cooking pancakes &amp; I've burnt the end of one of my fingers, plus slight sunburn. ",Sun May 31 02:55:07 PDT 2009
NGowers,"@Orchidflower think I'll have to do that. Had it in right arm all last year, nearly gone but left just useless, no strength at all. ",Mon Jun 01 02:04:54 PDT 2009
NGowers,"@suzie_single that's amazing. Well done. How much longer are you doing it for?  I have emails etc to reply to, boring stuff. ",Tue Jun 02 12:07:43 PDT 2009
NGowers,No....baby wipes didn't work. ,Sat Jun 06 00:40:10 PDT 2009
NGowers,Murder mystery night. We didn't win.  wine didn't help.  http://twitpic.com/6s1db,Sat Jun 06 14:59:18 PDT 2009
NGowers,"Good morning, a terrible nights sleep. Had a nightmare,wait for it,about ...Vampires! Wonder why that is?Then cldnt get back to sleep ",Mon Jun 15 23:36:40 PDT 2009
NGowers,@lisa24270 poor you. Yes no wonder...I woke up at 1.30 &amp; just couldn't go back to sleep. ,Mon Jun 15 23:48:57 PDT 2009
NGowers,How do I get the iphone upgrade. It says it's up to date....   ,Wed Jun 17 02:05:26 PDT 2009
NGowers,"@Jayce_Kay awww,sweet picture. I thought I would have early night but can't find DL &amp; forgot have important form to fill in. ",Thu Jun 18 12:59:15 PDT 2009
NGowers,"@MeticulousBob LOL!!! I have, have again &amp; so has son. Not there. Can't think where it can be. Usually in same place. ",Thu Jun 18 13:27:25 PDT 2009
NGowers,Trying on fancy dress costumes. Don't know what's appropriate for someone of my age to wear. Lol. ,Fri Jun 19 02:45:05 PDT 2009
NGowers,@lisa24270 actually I'm going to a 1st holy communion. On my own. ,Sat Jun 20 13:32:59 PDT 2009
NGowers,@piginthepoke morning! No lie in ...baby in my bed most of the night &amp; awake at dawn. ,Sun Jun 21 02:23:33 PDT 2009
NGowers,@piginthepoke I'm thinking croissants. ,Sun Apr 19 00:42:30 PDT 2009
NGowers,'Big cook little cook' I love this programme. ,Sun Apr 19 00:47:29 PDT 2009
NGowers,Just watched BGT. Wasn't the little boy fantastic. ,Sun Apr 19 11:20:32 PDT 2009
NGowers,@Lady_Twitster yuk.  Take care. Keep us informed on your progress. ,Sun Apr 19 11:30:49 PDT 2009
NGowers,"@Jayce_Kay morning, how are you today? ",Mon Apr 20 01:48:34 PDT 2009
NGowers,@mongooseson Morning not odd no. Strange. Hehe. Only joking. I can't bear black tea- like builders best.Like earl grey too. ,Mon Apr 20 01:53:07 PDT 2009
NGowers,Think i was a bit premature with the 'everyone is up early' I was in fact looking at last nights tweets! Duh!!! ,Sun May 03 00:29:56 PDT 2009
NGowers,Son's gluten free birthday cake done.  http://twitpic.com/4jbwy,Mon May 04 02:47:58 PDT 2009
NGowers,"@Taddy69 Not good, I know that feeling. Hope you get well soon. ",Mon May 04 04:23:01 PDT 2009
NGowers,@EvilNanny very lucky to have a good relationship. Long hours though &amp; poor you having no break. I hope they pay you well for it. ,Sun May 10 04:33:26 PDT 2009
NGowers,"@piginthepoke Good morning, no I was tucked up in bed last night. A late night for you then. ",Fri May 29 00:27:59 PDT 2009
NGowers,@Claire_Cordon aww thank you for the follow friday. ,Fri May 29 11:26:49 PDT 2009
NGowers,"@fraserke hmmmm. Poor you. Good luck. Have to say this pimms is delicious though. Sorry, that was mean! Good for you, keep us updated. ",Sat May 30 08:25:07 PDT 2009
NGowers,Does anyone fancy cooking dinner tonight? I am enjoying the sit down in the sun too much although I think I may be burnt. Feeling sleepy. ,Sat May 30 09:19:35 PDT 2009
NGowers,@mark_boardman anything I've not cooked myself would be great. LOL. Enjoy! ,Sat May 30 09:51:35 PDT 2009
NGowers,Lots left to share.  http://twitpic.com/6bozb,Sun May 31 02:36:43 PDT 2009
NGowers,"Good morning! All 4 kit bags,3swimming bags,2tennis rackets,1 cricket bag &amp; children delivered to correct locations. *tick* ",Mon Jun 01 01:11:50 PDT 2009
NGowers,"@VeggieV fortunately we don't need forms that need signing. Good job! One does them all, and all correspondence done by email. Phew! ",Mon Jun 01 01:24:19 PDT 2009
NGowers,"@Magpie_Guy Ahhh, that will change the dynamics of the house. ",Mon Jun 01 01:26:05 PDT 2009
NGowers,@MeticulousBob maybe a snooze in the sun then? ,Mon Jun 01 01:58:32 PDT 2009
NGowers,"Morning, a shopping day I think. ",Mon Jun 01 23:30:36 PDT 2009
NGowers,@Leafybear physical of course. ,Tue Jun 02 00:49:01 PDT 2009
NGowers,"@abacab1975 hehe, lots obviously not watching. ",Fri Jun 05 13:36:46 PDT 2009
NGowers,@abacab1975 really??? ,Sat Jun 06 07:47:20 PDT 2009
NGowers,@jobywan2000 what year is F in at school? Friend's daughter starting there in September. ,Sat Jun 06 07:53:29 PDT 2009
punctuation,@grunt121 Good luck with The Big Meeting.    I hope the rumour mill is wrong.,Tue Apr 07 01:34:45 PDT 2009
punctuation,@fayroberts That sounds serious. ,Mon Apr 20 01:20:40 PDT 2009
punctuation,There's a really annoying bird nested in a tree near my office window and it's making a noise like a evil dentist's drill ,Mon Apr 20 04:01:24 PDT 2009
punctuation,"Wow, KDE Twitter is extremely cool ",Sat Apr 18 13:44:35 PDT 2009
punctuation,"So, how cold will tomorrow be then because today's already pretty warm. ",Tue Jun 02 00:46:37 PDT 2009
punctuation,"Ugh, Sunday morning and I am about to drive through the pouring rain to the Glamour Slammer's house for a chat and a rehearsal.  Lunacy! ",Sun Jun 07 01:17:42 PDT 2009
bugsbunny88,don't want to leave college ,Tue Apr 07 01:43:00 PDT 2009
pandachops,not going swimming ,Tue Apr 07 02:03:31 PDT 2009
doris12,i can't breatheee... i hate being sick! ,Tue Apr 07 02:06:57 PDT 2009
rkhooks,@lejeff oh pants! I'm hanging out with the old folks back  in England   Defo b up 4 1 when I get back. tho ,Tue Apr 07 02:19:32 PDT 2009
rkhooks,@lejeff oh pants! I'm hanging out with the old folks back  in England   Defo b up 4 1 when I get back. tho ,Tue Apr 07 02:19:32 PDT 2009
rkhooks,is on the eurostar back 2 paris with a sunburn. Yes! The sun does shine in lndn ,Mon Jun 15 13:01:50 PDT 2009
h4nn4hhh,@andy_cyrus im still awake too lol cant sleep  glad your up tho (:,Tue Apr 07 02:20:19 PDT 2009
h4nn4hhh,@nicholasbraun n you didnt answer my question yet ,Fri Apr 17 21:42:00 PDT 2009
h4nn4hhh,I lost 6 followers  ouch..,Sun Apr 19 01:44:29 PDT 2009
h4nn4hhh,@ashleyxtellez i totally will girlie!  (ps we never talk anymore  we really gotta :p ),Sun May 03 01:38:16 PDT 2009
h4nn4hhh,@laniew lucky  i knew em for longer but anyway ,Sun May 03 20:21:45 PDT 2009
h4nn4hhh,@laniew i know! haha im the jealous one tho ,Sun May 03 20:46:53 PDT 2009
h4nn4hhh,@J_Moneyy heeeyyy! Missed ya girl! &lt;33333 ,Sat Apr 18 13:49:41 PDT 2009
h4nn4hhh,@michellecorona HHHAAAPPPPPPYYY BBBDDDAAAYYY MMMIIICCCHHHEEELLLLLLEEE!!!! Happy bday girl! have a great day!  &lt;3,Sun May 03 01:41:41 PDT 2009
h4nn4hhh,@paigebradford im too excited to see you love!  haha wooot,Sun May 03 18:40:55 PDT 2009
h4nn4hhh,@elanaskye haha well your absolutely beautiful either way!&lt;3 Great teeth tho! ,Sun May 03 19:46:30 PDT 2009
mercuryvapour,"I have just really, really splattered the bowl ",Tue Apr 07 02:32:46 PDT 2009
gabbyortanez,WANTS TO GO OUT BADLY ,Tue Apr 07 02:33:57 PDT 2009
methel,@robparsons - too difficult??? who ARE these people?? no doubt the ones who only ever see Africans as starving and helpless - grrrrrr ,Tue Apr 07 02:50:19 PDT 2009
methel,indian meal being wrecked by REALLY loud group of lager louts ,Sat May 30 14:24:08 PDT 2009
methel,"grrr - if you always walk looking backwards you will sooner or later trip and break your neck (banging head on wall again, again, again ",Wed Jun 03 05:01:43 PDT 2009
methel,grrr - approaching empty battery mid-session situation again despite long life battery...   #mlib09,Tue Jun 23 12:43:15 PDT 2009
PartyPlanPat,"@divapromotions I agree, sendout cards rocks!  Just sent one today to a dear friend that I had to let go ",Tue Apr 07 02:51:19 PDT 2009
PartyPlanPat,@brentleary what with the Force MD Tender love how could not love those guys ,Sat May 09 19:21:13 PDT 2009
varicool,@allieblue I have ONE Vodka Mudshake  Not going to be enough!!!!!!!!,Tue Apr 07 02:52:56 PDT 2009
varicool,@kirstiealley My chihuahua and I are very friendly I run a Dog Rescue in Australia ,Fri May 29 08:22:00 PDT 2009
autojoy,@Emmavieceli aw no  Get better soon! Have honey and lemon drinks!,Tue Apr 07 03:11:36 PDT 2009
autojoy,"@johnaggs oh no, did you have a bad workshop? ",Tue Jun 16 11:26:55 PDT 2009
autojoy,@Alexmilway I've been wondering this myself!  That and Creationist &quot;Museums&quot;.....omfg.,Thu Jun 25 06:18:09 PDT 2009
autojoy,@soundslikebuuu Pictures! Pictures when he arrives! ,Fri May 22 06:46:44 PDT 2009
autojoy,@docky holy shit! ,Sat May 30 07:59:21 PDT 2009
autojoy,@vivschwarz ooh! ooh! Are you playing Shadow of the Colossus?! One of my top favourite games ever!  Which colossus are you on? ,Sun May 31 02:50:00 PDT 2009
autojoy,@soundslikebuuu Gordon Freeman is uper-duper-super! ,Mon Jun 01 02:36:02 PDT 2009
autojoy,New Alan Wake footage from E3! http://tinyurl.com/lw36jr So exciting! ,Mon Jun 01 14:56:59 PDT 2009
autojoy,"@puresock great stuff! Yeah, do so! ",Tue Jun 02 07:49:48 PDT 2009
autojoy,"@jabberworks You too, I was glad to catch you on the corner, if briefly! Ah, maybe it was best the photo was blurry, haha! ",Tue Jun 16 07:21:23 PDT 2009
kiley_,is that snow? ,Tue Apr 07 03:13:50 PDT 2009
KGM28,@Schofe I feel so sorry for the women that lost her husband to those disgusting thugs! Hearing her story made me cry ,Tue Apr 07 03:23:12 PDT 2009
aamybelle,so tired   in my room chilling out. fun :|,Tue Apr 07 03:52:56 PDT 2009
SiobhanDullea,it's not easy to fly from BOS to SLC ,Tue Apr 07 04:36:14 PDT 2009
adriankhall,Is home! Been @ WCH since 8:30AM this morning. Been awake since 4. 2nd born in over night; she is not a happy camper  #WCH #tired,Tue Apr 07 04:37:21 PDT 2009
adriankhall,Orangutan causes evacuation at #Adelaide Zoo: http://tinyurl.com/qeyxup; had planned to go for Mother's Day ,Sun May 10 01:30:53 PDT 2009
adriankhall,"Worried about his beloved #LiverpoolFC!! Money, money, money ",Fri Jun 05 14:46:42 PDT 2009
adriankhall,Devil's Drop Classic Barossa Dry White #wine - FAIL! The Devil peed in the bottle..... it was #free. So sorry but that is my opinion ,Sat Jun 06 02:56:55 PDT 2009
adriankhall,"FAIL = KPMG: http://is.gd/QXFe;  'Heartbroken' British mother out of her dream job in #Adelaide, Australia &amp; forces her back to England ",Sat Jun 06 18:20:09 PDT 2009
adriankhall,Packing! My 3 girls are off 2 'sunny' Canberra for 3 weeks. Home alone after Saturday night ,Fri Jun 19 00:44:13 PDT 2009
adriankhall,"@ airport, drinking xpresso &amp; waiting 4 plane 2 take off ",Sat Jun 20 01:37:08 PDT 2009
adriankhall,Leaving #Adelaide Airport 2 return 2 an empty house ,Sat Jun 20 01:51:53 PDT 2009
cleokid,@amnewsboy i'd love to but im at work now ,Tue Apr 07 04:54:37 PDT 2009
cleokid,@cscisu that probably explains why i dont like it.  i hate fruity pebbles. ,Tue Apr 07 05:04:00 PDT 2009
cleokid,BOOOOOOOOOO.  3.0 software delayed til tomorrow!   http://www.apple.com/sg/iphone/softwareupdate/,Wed Jun 17 08:39:31 PDT 2009
cleokid,"@atomichris and @rsesek well if i had to deal with it, it was only fair to make others suffer as well.   sharing is caring!  ",Tue Jun 02 08:29:22 PDT 2009
cleokid,&quot;so how did the softball game go?&quot; &quot;we came in second!&quot; at least we're optimistic. ,Wed Jun 03 07:19:26 PDT 2009
TheWoman333,ugh just woke up with a headache... this should be interesting... bad dreams  *Stacia*,Tue Apr 07 05:11:39 PDT 2009
TheWoman333,&lt;3 going shopping later... after get a much needed nap... alch+orange pixy= dead body ,Sun Apr 19 10:29:51 PDT 2009
TheWoman333,if i werent so tired i'd make a pouty face... oh wait just mustered the strength and energy... offical pouty face on...   ,Sat May 02 23:17:16 PDT 2009
TheWoman333,yin yang concert in a bit... panera first ,Sat Apr 18 15:29:59 PDT 2009
stinebeann,ughhhhh its snowing  spring is such a tease,Tue Apr 07 05:11:59 PDT 2009
stinebeann,omg episode of hannah montana is going to make me cry. ,Sat May 02 08:27:50 PDT 2009
stinebeann,So hungover and miserable cant wait to get home . Trying not to cry ,Sun May 03 04:25:30 PDT 2009
stinebeann,life is so boring without you ,Fri May 29 15:41:48 PDT 2009
stinebeann,last survivor of the Titanic passed away ,Mon Jun 01 06:20:58 PDT 2009
stinebeann,the first available date was tomorrow but mom said no ,Wed Jun 17 06:56:04 PDT 2009
pandastick,@Adka88 ya this one - its just really expensive in Swiss     http://bit.ly/aBxtk,Tue Apr 07 05:17:40 PDT 2009
pandastick,"no i didnt, gyminee is lying ",Sat May 02 04:32:05 PDT 2009
pandastick,"this is pretty darn cool, too bad i don't need it  http://tinyurl.com/5q935d",Mon May 04 06:37:35 PDT 2009
pandastick,@angrybetsy we miss you too ,Sat May 30 13:19:20 PDT 2009
cayceleigh,"Ugh I feel like death. I just wanna go back to sleep, the only thing making me go to school is dumb precal quiz ",Tue Apr 07 05:28:29 PDT 2009
cayceleigh,I leave in 15 minutesss... Boo ,Sat May 30 14:14:31 PDT 2009
cayceleigh,Oh pushing daisies I forgot how much I love you! Why does the world suck and have to cancel you!?! ,Sat May 30 21:19:25 PDT 2009
cayceleigh,"Dear @jonasbrothers, we went to two walmarts and the second one had it, but they couldn't give it to us till 5 am! What is that?! ",Mon Jun 15 22:39:25 PDT 2009
cayceleigh,Going to bed! Had an awesome 3 hours and 50 miniute phone call with @annakayh!  fun times!!,Sat May 02 23:14:58 PDT 2009
cayceleigh,"NIGHT! i'll be dreaming of my boys lucas till, kris allen, and of course nicholas jonas ",Wed May 13 21:19:31 PDT 2009
cayceleigh,Gonna lay out today  woo shall be fun!,Fri May 29 08:07:54 PDT 2009
cayceleigh,House marathon!! What!? ,Sat May 30 11:12:42 PDT 2009
cayceleigh,I love Paul Rudd.... Can I marry him?! I really want to. K thanks ,Sun May 31 10:15:46 PDT 2009
cayceleigh,@deniGee you are the harry to my ron  love you biff!,Sun May 31 11:34:06 PDT 2009
cayceleigh,@taylorswift13 neither is pool hair! I feel ya! ,Mon Jun 01 22:27:41 PDT 2009
cayceleigh,Taylor Swift is calming me down tonight! Love her. She's MUCH BETTER! ,Fri Jun 05 21:32:42 PDT 2009
cayceleigh,Heading to target to get LVATT cause that damn guy wouldn't give it to us at walmart. Then to B&amp;N to get the new Sarah Dessen book ,Tue Jun 16 08:28:50 PDT 2009
hmerkle,"@bigjonevans @willgray79 you asked for a &quot;Volunteer&quot; for Monday, not sure mine will be there    http://bit.ly/13qWMV",Tue Apr 07 05:33:49 PDT 2009
hmerkle,"@rickdearr so, how do we see an excerpt of &quot;Cash in a flash&quot; (and your marketing skills!) ",Mon Jun 01 06:40:28 PDT 2009
hmerkle,@10best Oh! was is supposed to be different or offer something?  Ooops the designers must have missed that!  (it's called design intent!),Mon Jun 01 08:04:59 PDT 2009
MissSS,"@TomAtChemical Rubbish  At least we're having curry for tea, so that should cheer you up!!",Tue Apr 07 05:44:43 PDT 2009
MissSS,Has just realised that I don't have a free weekend until 1st August. This is fucking ridiculous ,Thu May 14 02:52:23 PDT 2009
MissSS,Second BBQ of the year this evening. Then Apprentice. Then grinding my teeth again ,Wed Jun 03 06:07:22 PDT 2009
MissSS,@aguycalledAdam lucky for some. No ice cream for me ,Fri Jun 19 09:38:55 PDT 2009
anyabelle,"is wearing nothing but a sarong as a house dress. Have to, weather feels heavy and humid  http://plurk.com/p/n1w2g",Tue Apr 07 05:47:58 PDT 2009
