user,credit_record_status,job_yrs,home_type,loan_months,age,marital_status,job_type,debt,loan_amt,price_of_good
Kirle,GOOD,1,RENT,48,46,MARRIED,FIXED,0,1420,1595
PlexShaw,GOOD,12,RENT,36,51,MARRIED,FIXED,0,600,690
XxGGirl14xX,BAD,12,RENT,48,47,MARRIED,FREELANCE,0,2000,2196
zarnasurti,BAD,2,RENT,36,35,SINGLE,FIXED,0,900,1200
garethhoey,GOOD,13,OWNER,48,31,MARRIED,FIXED,0,1000,1575
rhynofive,GOOD,2,RENT,36,24,MARRIED,FIXED,0,700,1338
Katejck,GOOD,32,RENT,36,52,MARRIED,FIXED,0,1100,1489
thatchickleeann,GOOD,5,OWNER,48,53,MARRIED,FIXED,0,650,869
SilverWlf,BAD,1,RENT,60,56,MARRIED,PARTTIME,0,750,784
laurenkel83,BAD,1,OWNER,60,22,SINGLE,FIXED,0,1350,1520
CaseyMGeorge,GOOD,9,OWNER,60,35,MARRIED,FIXED,0,1000,1656
pipstomatoes,GOOD,1,OWNER,60,41,MARRIED,FIXED,0,1450,2009
miisz_BuNz,GOOD,2,RENT,36,29,MARRIED,FIXED,0,500,600
Umesh_Kadam,BAD,0,OWNER,60,42,MARRIED,FREELANCE,0,2700,3700
g_racee,BAD,0,RENT,30,30,MARRIED,FREELANCE,0,600,830
lauzsnores,GOOD,2,RENT,48,37,WIDOW,FIXED,0,700,1805
Coach723,GOOD,8,RENT,60,34,MARRIED,PARTTIME,0,600,1400
dmoneeey,BAD,19,RENT,60,37,WIDOW,FIXED,0,2700,2957
SpecialKradio,GOOD,7,RENT,60,30,MARRIED,FIXED,0,950,1169
lolz03,BAD,2,RENT,48,48,MARRIED,FREELANCE,0,1140,1143
lanalaaane,BAD,9,RENT,60,37,SINGLE,FIXED,0,1600,1800
ayotaylo,BAD,0,OWNER,48,45,MARRIED,FIXED,0,1000,1135
seanlynchh,BAD,0,OWNER,60,51,MARRIED,FREELANCE,0,1300,1321
Angryface375,BAD,3,OWNER,24,28,SINGLE,FIXED,0,800,1750
LarkBea,BAD,5,RENT,36,40,MARRIED,FREELANCE,0,1800,2800
icanhaznetworm,GOOD,11,RENT,60,54,MARRIED,FIXED,0,1000,1303
sukiyatoiukara,GOOD,1,OWNER,36,25,SINGLE,FIXED,0,750,1366
cinthia_campos,GOOD,21,OWNER,60,43,SINGLE,FIXED,0,1000,1338
crystal_irving,GOOD,2,OWNER,60,41,MARRIED,FIXED,0,1000,1500
uufunnybunny,BAD,3,RENT,36,23,MARRIED,FIXED,0,1600,2000
liddomissval,BAD,0,RENT,6,37,WIDOW,FREELANCE,0,760,768
fckafish,BAD,12,OWNER,60,36,MARRIED,FIXED,0,750,790
devil697,GOOD,15,RENT,48,46,MARRIED,FIXED,0,1350,1500
KatieFranzone,GOOD,6,OWNER,60,23,SINGLE,FIXED,0,1332,1332
Chris2theChin,GOOD,3,OWNER,18,21,SINGLE,FIXED,0,500,1364
dimple23,BAD,7,OWNER,24,31,MARRIED,FREELANCE,0,200,2000
lessallan,GOOD,8,RENT,48,44,MARRIED,FIXED,0,1000,1387
MonnyJBRocks,GOOD,0,RENT,60,30,MARRIED,FIXED,0,1000,1056
JohnDaniel102,GOOD,0,RENT,60,57,MARRIED,FREELANCE,0,1200,1515
xoxocarrixoxo,BAD,5,RENT,48,48,MARRIED,FREELANCE,0,1200,1487
BLAINE2006,GOOD,13,OWNER,60,28,MARRIED,FIXED,0,1080,1192
georgecovertiv,GOOD,2,RENT,36,54,MARRIED,FIXED,0,1200,2050
bitta_sweet,GOOD,18,OWNER,36,42,SINGLE,FIXED,0,700,1380
conniewou,BAD,1,RENT,36,40,WIDOW,FREELANCE,0,400,400
jewnotdrew,GOOD,7,OWNER,60,30,SINGLE,FIXED,0,900,1158
GaryHainey,GOOD,1,OWNER,36,33,MARRIED,FIXED,0,600,1580
GatorDeb,BAD,0,OWNER,60,38,WIDOW,FREELANCE,0,700,1738
GearsOfDuty,GOOD,1,RENT,6,34,MARRIED,FREELANCE,0,500,1196
ohmoni,GOOD,8,RENT,36,51,MARRIED,FREELANCE,0,400,600
tombowker,GOOD,13,OWNER,48,40,MARRIED,FREELANCE,0,2300,2750
CerianWoopage,BAD,8,OWNER,36,27,SINGLE,PARTTIME,0,225,350
Sarah_L_D,GOOD,13,OWNER,60,40,MARRIED,FIXED,0,700,1465
Steve_Collis,GOOD,2,OWNER,60,24,SINGLE,FIXED,0,316,1080
camieluv15,GOOD,10,OWNER,42,26,SINGLE,FIXED,0,800,1400
GlynisMenace,GOOD,2,RENT,48,33,SINGLE,PARTTIME,0,1230,1515
gregstudt,GOOD,6,RENT,60,25,MARRIED,FIXED,0,1000,11140
smplyjen,GOOD,11,OWNER,48,28,SINGLE,FIXED,0,1100,1370
JWurzinger,GOOD,0,OWNER,42,21,SINGLE,FIXED,0,900,1141
Jurg3ns,GOOD,0,OWNER,60,37,MARRIED,FIXED,0,1000,1000
maychia21,GOOD,0,OWNER,24,21,SINGLE,FIXED,0,900,1681
nettynotorious,GOOD,9,RENT,36,39,MARRIED,FREELANCE,0,600,875
mrploddy,BAD,1,OWNER,36,24,SINGLE,PARTTIME,0,250,750
y2marmar,GOOD,9,RENT,60,43,MARRIED,FIXED,0,850,863
mpink22,GOOD,8,RENT,60,31,SINGLE,FIXED,0,850,880
zelle_xiao,BAD,5,RENT,36,28,MARRIED,FREELANCE,0,900,1200
kittyodoh,GOOD,9,OWNER,48,24,SINGLE,FIXED,0,1200,1302
toribeth_ilu,BAD,13,OWNER,48,37,MARRIED,FIXED,0,950,1365
LilMissKendra,GOOD,10,OWNER,36,37,SINGLE,FIXED,0,1000,2484
kayde_mae,BAD,0,OWNER,60,23,SINGLE,PARTTIME,0,1000,1084
Web526,GOOD,1,OWNER,24,29,SINGLE,PARTTIME,0,650,1370
karen_alexa,BAD,3,OWNER,60,35,MARRIED,FIXED,0,2000,2228
lukebrincat,GOOD,5,OWNER,60,21,SINGLE,PARTTIME,0,1400,1550
MariaLuna4,GOOD,8,OWNER,24,23,SINGLE,PARTTIME,0,900,931
ktw92,GOOD,22,OWNER,24,36,MARRIED,FIXED,0,700,1428
MissLaurenn,GOOD,11,OWNER,30,27,SINGLE,FIXED,0,600,1293
balletrfs17,GOOD,17,RENT,48,37,MARRIED,FIXED,0,1050,1317
bkreilly,GOOD,13,RENT,60,34,MARRIED,FIXED,0,1550,2100
elle_mcqueen,GOOD,7,OWNER,24,45,SINGLE,FIXED,0,300,600
1GoodDiver,GOOD,3,RENT,24,28,MARRIED,FIXED,0,100,560
renegade_kitsch,BAD,6,OWNER,60,23,SINGLE,FIXED,0,1200,1830
ps_JONASlovee,BAD,2,RENT,60,41,WIDOW,FIXED,0,1000,1189
_justinmorgan_,GOOD,15,OWNER,36,37,MARRIED,FIXED,0,800,1479
marcusgregory,BAD,2,OWNER,36,30,SINGLE,FIXED,0,950,1316
kattterina,BAD,10,RENT,24,36,MARRIED,FREELANCE,0,240,240
ChaylaAbbney,GOOD,20,RENT,48,55,MARRIED,FREELANCE,0,1000,1643
cherry_cakes,BAD,16,OWNER,60,35,WIDOW,FIXED,0,800,1084
sbrocaille,BAD,2,RENT,36,32,MARRIED,FIXED,0,500,615
Crystal_Reign,BAD,1,OWNER,48,23,SINGLE,PARTTIME,0,1000,1843
shawty68009,GOOD,8,RENT,48,33,MARRIED,FIXED,0,944,1054
Chazzy137,GOOD,15,OWNER,48,46,WIDOW,FIXED,0,1000,1284
steved25,GOOD,1,OWNER,18,23,SINGLE,PARTTIME,0,250,1139
missmashup,GOOD,0,OWNER,48,26,SINGLE,FIXED,0,850,1400
rachuridge,BAD,0,OWNER,36,49,MARRIED,FREELANCE,0,1000,1800
drkevinking,BAD,4,OWNER,36,54,MARRIED,FREELANCE,0,250,350
theddlovato,GOOD,30,OWNER,48,50,MARRIED,FIXED,0,600,900
laurencraigxo,GOOD,2,OWNER,48,29,SINGLE,FIXED,0,650,824
eisforecstacy,GOOD,17,RENT,24,40,MARRIED,FIXED,0,700,982
_abilouise,GOOD,14,OWNER,48,37,MARRIED,FIXED,0,1000,1189
yerry20,BAD,0,OWNER,60,23,SINGLE,FIXED,0,700,969
trancejunkie_eu,BAD,16,RENT,60,40,MARRIED,FREELANCE,0,2000,2250
maHHtin,GOOD,13,OWNER,48,28,MARRIED,FIXED,0,1200,1590
debjgee,GOOD,0,OWNER,36,23,SINGLE,FIXED,0,900,1210
juleshid,GOOD,10,RENT,36,38,MARRIED,FIXED,0,500,1171
bassist_121305,GOOD,8,RENT,48,39,MARRIED,FREELANCE,0,700,1580
adoniadonia,BAD,0,OWNER,60,32,SINGLE,PARTTIME,0,600,1690
vincent_andrew,GOOD,0,RENT,60,35,SINGLE,FIXED,0,1000,1353
vivishadows,GOOD,15,OWNER,36,30,MARRIED,FIXED,0,250,1341
RonC1980,BAD,1,RENT,24,32,SINGLE,FREELANCE,0,290,490
woeisthespider,GOOD,17,RENT,30,45,MARRIED,FIXED,0,550,575
Mateyy,GOOD,2,OWNER,60,30,WIDOW,FREELANCE,0,1500,1671
mpdwibble,BAD,4,RENT,60,46,MARRIED,FREELANCE,0,2400,2500
melaniesmith1,BAD,0,OWNER,36,29,WIDOW,FREELANCE,0,650,975
QDelia,BAD,5,RENT,36,48,MARRIED,FREELANCE,0,1300,1736
Saahil2902,GOOD,5,RENT,24,41,WIDOW,FIXED,0,550,1319
yuglook,BAD,1,OWNER,48,21,SINGLE,PARTTIME,0,1350,1601
treppuhtak,BAD,0,RENT,48,54,MARRIED,FREELANCE,0,2000,2476
producthope,BAD,6,OWNER,36,31,SINGLE,FREELANCE,0,1200,1730
Erod85,GOOD,1,OWNER,60,30,MARRIED,FREELANCE,0,1600,1647
ZepXcore,GOOD,17,RENT,48,36,MARRIED,FIXED,0,1000,1641
Melmis,BAD,0,RENT,48,42,MARRIED,PARTTIME,0,1300,1400
Suerundlehughes,GOOD,2,OWNER,36,24,MARRIED,FREELANCE,0,1000,2223
GoodHealthTips,GOOD,11,RENT,60,29,MARRIED,FIXED,0,1000,1097
MissJai87,GOOD,2,OWNER,60,23,SINGLE,FIXED,0,820,1097
Chr_Berg,GOOD,32,OWNER,42,53,MARRIED,FREELANCE,0,200,829
surlyride,BAD,8,OWNER,60,28,SINGLE,FIXED,0,1300,1550
amberly22,GOOD,24,OWNER,60,40,MARRIED,FIXED,0,1250,1461
iObsess,BAD,1,OWNER,30,23,SINGLE,FREELANCE,0,800,1452
MizzShanay,GOOD,15,RENT,48,55,WIDOW,FIXED,0,1100,1467
xcarlosx91,BAD,1,RENT,24,24,SINGLE,PARTTIME,0,750,1192
SkylarkNz,BAD,2,OWNER,60,23,SINGLE,PARTTIME,0,1100,1139
zoegakenia,GOOD,0,OWNER,18,20,MARRIED,FIXED,0,600,750
liljeaniepoo,GOOD,14,RENT,36,49,MARRIED,FIXED,0,500,1017
KittyKarnivore,GOOD,20,RENT,60,38,MARRIED,FIXED,0,1500,1600
artistwells,GOOD,26,OWNER,60,41,MARRIED,FIXED,0,1100,1472
swankkat,GOOD,1,OWNER,48,23,SINGLE,FIXED,0,650,650
JillNYC21,GOOD,16,RENT,60,35,SINGLE,FIXED,0,1300,1310
Ruslan11,GOOD,1,RENT,60,40,MARRIED,FIXED,0,1500,1737
MJRoRo,GOOD,23,RENT,48,57,SINGLE,FIXED,0,1300,1450
superjessie31,GOOD,2,OWNER,60,35,SINGLE,FREELANCE,0,1100,1324
sarahmolina,BAD,5,RENT,60,42,MARRIED,FREELANCE,0,1530,1530
alex_krycek_lv,BAD,0,OWNER,60,38,MARRIED,FIXED,0,1500,1700
felmoran,BAD,0,OWNER,24,20,SINGLE,PARTTIME,0,550,550
amber_duffle,GOOD,2,RENT,48,24,SINGLE,FIXED,0,1200,1450
itsLorrieM,GOOD,4,OWNER,60,37,MARRIED,FREELANCE,0,1420,1450
crlyksr,GOOD,4,OWNER,60,27,MARRIED,FREELANCE,0,1050,1214
JuliGrbac,GOOD,43,OWNER,24,60,MARRIED,FIXED,0,319,1669
kellymason0514,GOOD,8,OWNER,48,34,SINGLE,FIXED,0,1000,1383
shimmysmily,GOOD,7,OWNER,36,24,SINGLE,FIXED,0,300,2612
tkfertig,GOOD,5,OWNER,24,32,MARRIED,FIXED,0,450,530
butterflies8820,GOOD,0,RENT,36,42,SINGLE,PARTTIME,0,525,525
backtothebasics,BAD,0,RENT,24,42,MARRIED,FIXED,0,1897,2517
lifeldrshpcoach,GOOD,2,OWNER,60,24,SINGLE,FIXED,0,1600,1601
nevermay,GOOD,2,OWNER,18,25,MARRIED,FREELANCE,0,850,1400
martiiwantsyou,GOOD,0,OWNER,48,39,MARRIED,FIXED,0,1450,1594
RyanLadner,GOOD,0,OWNER,24,22,SINGLE,PARTTIME,0,650,1356
lars3n,BAD,0,RENT,18,28,MARRIED,FIXED,0,200,300
Bobmit12,GOOD,0,OWNER,24,36,MARRIED,FREELANCE,0,625,725
zZzFloOozZz,BAD,2,RENT,60,20,SINGLE,FIXED,0,1200,1300
Dizneemom,GOOD,5,OWNER,30,24,MARRIED,FIXED,0,700,1804
bernicenadine,GOOD,2,RENT,60,53,WIDOW,FIXED,0,1050,1348
JamesMcCleary,BAD,2,RENT,24,30,MARRIED,PARTTIME,0,500,975
priihsoares,GOOD,23,OWNER,54,38,WIDOW,FIXED,0,740,989
mattbladen,BAD,8,OWNER,60,41,MARRIED,FREELANCE,0,1800,2101
nospoonwriter,GOOD,17,OWNER,36,33,WIDOW,FIXED,0,475,475
MonBon21,GOOD,17,RENT,60,44,MARRIED,FIXED,0,1100,1668
Chater1703,GOOD,19,RENT,60,42,SINGLE,FIXED,0,730,1070
IaMCasPa,GOOD,16,OWNER,42,49,MARRIED,FIXED,0,700,950
AbigailRobins,GOOD,4,RENT,48,34,MARRIED,FIXED,0,750,1431
Rey8,GOOD,5,RENT,60,39,MARRIED,FIXED,0,1100,1338
THISISJC,GOOD,2,RENT,36,32,MARRIED,FIXED,0,750,900
9SvEnJa3,BAD,0,OWNER,36,52,MARRIED,FREELANCE,0,500,1050
mel0dramatic,GOOD,6,RENT,24,28,MARRIED,FIXED,0,500,1150
CarolynVela,GOOD,25,OWNER,60,50,MARRIED,FIXED,0,800,860
Bones_R_Beauty,GOOD,0,RENT,18,34,MARRIED,PARTTIME,0,300,450
Kaarllee,GOOD,18,RENT,42,35,MARRIED,FIXED,0,800,1687
dearestvanee,GOOD,0,OWNER,48,24,SINGLE,PARTTIME,0,1640,1649
rubenzer,GOOD,2,RENT,60,33,SINGLE,FIXED,0,1450,1457
Karlyguitargirl,GOOD,1,OWNER,12,24,SINGLE,FIXED,0,300,1056
Melahead,GOOD,1,OWNER,36,28,SINGLE,FREELANCE,0,1950,2074
carolsh_hale,BAD,3,OWNER,36,19,SINGLE,FIXED,0,500,700
Lawraa,GOOD,2,OWNER,24,30,MARRIED,PARTTIME,0,500,974
cstampeen,BAD,2,RENT,36,29,MARRIED,FIXED,0,2100,2300
AlexGkarthFans,GOOD,0,RENT,60,27,MARRIED,FIXED,0,400,1136
Blackaurora555,GOOD,1,OWNER,48,26,SINGLE,FREELANCE,0,1300,1561
initials123,BAD,5,RENT,48,30,WIDOW,PARTTIME,0,1300,1600
TheBlockChicK,BAD,0,RENT,36,26,MARRIED,PARTTIME,0,600,785
JulsVuorinen,GOOD,5,RENT,24,29,MARRIED,FREELANCE,0,800,1197
jKAE17,GOOD,9,RENT,60,37,MARRIED,FIXED,0,1000,1537
KSade,GOOD,3,RENT,48,35,WIDOW,FIXED,0,1300,1627
amysaysMEOW,BAD,9,OWNER,60,31,SINGLE,FIXED,0,1000,1161
KatelynLydia,GOOD,2,OWNER,60,26,MARRIED,FIXED,0,1500,1698
deinaaa512,GOOD,2,OWNER,42,25,MARRIED,FIXED,0,1100,1729
_pradeep,BAD,11,RENT,48,40,MARRIED,FIXED,0,1000,1930
twitofalili,GOOD,1,OWNER,48,28,SINGLE,FIXED,0,1400,1728
caseymt12,GOOD,14,OWNER,60,28,MARRIED,FIXED,0,1150,1301
britt_allen,GOOD,1,RENT,60,26,MARRIED,PARTTIME,0,1035,1709
mybeautifullyme,GOOD,10,RENT,60,26,MARRIED,FIXED,0,1000,1314
jerjerific_31,GOOD,28,OWNER,24,44,MARRIED,FREELANCE,0,450,1472
BobbyJames11,BAD,1,RENT,48,26,SINGLE,FIXED,0,1400,1968
karawilliamson,BAD,0,OWNER,60,27,MARRIED,FIXED,0,1600,1786
genevamae,GOOD,1,OWNER,36,29,SINGLE,FIXED,0,1000,1152
mthenier,GOOD,4,RENT,48,39,MARRIED,FIXED,0,1300,1501
typingsucks,BAD,0,OWNER,60,30,MARRIED,FREELANCE,0,1000,1110
MayaENel,BAD,8,RENT,60,40,WIDOW,FIXED,0,1300,1510
mimay,BAD,1,OWNER,60,24,SINGLE,PARTTIME,0,1400,1420
summerchick,BAD,1,RENT,36,25,MARRIED,PARTTIME,0,775,850
SCeCeW,BAD,3,RENT,60,38,MARRIED,PARTTIME,0,1030,1170
HopeLatona,GOOD,6,OWNER,36,36,MARRIED,FIXED,0,550,700
